id,file_id,transcript_id,minutes_id,meeting_date,qdrant_collection_name,created_at
1,8,8,1,2025-07-29,20250729_153005_output_1min,2025-07-29 13:30:48
2,9,9,2,2025-07-29,20250729_153459_output_1min,2025-07-29 13:35:44
3,10,10,3,2025-08-07,20250807_085750_input,2025-08-07 06:59:11
4,11,11,4,2025-10-30,20251030_141056_output_1min,2025-10-30 13:11:57
